epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7518,1.09109,3.19107,1.28294,0.60636,0.47722,0.51272,0.31298,1.36423,1.87217,1.39275,0.000255564,0.000255564,0.000255564
2,141.948,1.08074,2.12046,1.2611,0.73208,0.58174,0.64789,0.40897,1.32358,1.54233,1.33716,0.000501761,0.000501761,0.000501761
3,202.115,1.09043,1.75973,1.2591,0.68551,0.6305,0.6653,0.41211,1.34236,1.43924,1.39283,0.000737808,0.000737808,0.000737808
4,262.735,1.09129,1.50592,1.26592,0.7832,0.63172,0.7176,0.44989,1.33955,1.31795,1.3725,0.000723321,0.000723321,0.000723321
5,326.71,1.02583,1.32567,1.23091,0.81297,0.69414,0.7703,0.50014,1.22445,1.17276,1.28671,0.000708095,0.000708095,0.000708095
6,392.298,0.98612,1.2014,1.21154,0.79452,0.69751,0.78544,0.5118,1.19523,1.09218,1.28867,0.000692869,0.000692869,0.000692869
7,452.271,0.97094,1.11722,1.20067,0.84159,0.77583,0.83049,0.55316,1.15442,0.92932,1.22619,0.000677643,0.000677643,0.000677643
8,512.941,0.95225,1.05541,1.18421,0.85968,0.76507,0.83629,0.53804,1.20764,0.94214,1.28079,0.000662417,0.000662417,0.000662417
9,575.272,0.93907,1.00852,1.17517,0.80813,0.79114,0.83059,0.56136,1.13836,0.8764,1.22246,0.00064719,0.00064719,0.00064719
10,638.195,0.92853,0.9647,1.16199,0.81335,0.81393,0.85002,0.5816,1.13704,0.8267,1.21284,0.000631964,0.000631964,0.000631964
11,701.722,0.91668,0.92493,1.1607,0.8453,0.8034,0.84732,0.574,1.11704,0.85031,1.21207,0.000616738,0.000616738,0.000616738
12,761.822,0.89507,0.89824,1.14349,0.82677,0.81555,0.85695,0.58061,1.12183,0.81827,1.20993,0.000601512,0.000601512,0.000601512
13,821.157,0.89623,0.87001,1.15309,0.85534,0.80485,0.85763,0.58656,1.08504,0.81319,1.18384,0.000586286,0.000586286,0.000586286
14,880.517,0.87756,0.84548,1.13615,0.86465,0.83845,0.87358,0.60667,1.07174,0.73834,1.17652,0.000571059,0.000571059,0.000571059
15,939.783,0.86222,0.83256,1.12959,0.88896,0.83789,0.88748,0.6128,1.0645,0.70554,1.17256,0.000555833,0.000555833,0.000555833
16,1001.86,0.87035,0.81297,1.12275,0.86644,0.83875,0.88154,0.61416,1.03509,0.71216,1.1544,0.000540607,0.000540607,0.000540607
17,1064.03,0.84358,0.78196,1.11812,0.86169,0.84206,0.88263,0.62424,1.04457,0.70216,1.16398,0.000525381,0.000525381,0.000525381
18,1126.28,0.83648,0.75427,1.10829,0.88632,0.85136,0.89254,0.63257,1.03841,0.68722,1.16096,0.000510155,0.000510155,0.000510155
19,1188.88,0.82087,0.73704,1.10157,0.88684,0.85249,0.88404,0.62719,1.04247,0.66915,1.17289,0.000494928,0.000494928,0.000494928
20,1251.11,0.8283,0.73033,1.09834,0.87083,0.8436,0.89247,0.64385,1.02535,0.67079,1.15656,0.000479702,0.000479702,0.000479702
21,1313.55,0.81766,0.71656,1.09993,0.86564,0.86025,0.89608,0.63963,1.02785,0.66029,1.14824,0.000464476,0.000464476,0.000464476
22,1375.84,0.81339,0.69976,1.09581,0.87712,0.85774,0.89902,0.63622,1.01958,0.6565,1.14321,0.00044925,0.00044925,0.00044925
23,1438.34,0.80708,0.69617,1.09208,0.87926,0.86601,0.90602,0.63861,1.02022,0.6715,1.14908,0.000434024,0.000434024,0.000434024
24,1501.28,0.79388,0.67658,1.08425,0.90142,0.86916,0.90503,0.64691,1.01478,0.64083,1.14003,0.000418797,0.000418797,0.000418797
25,1564.14,0.78685,0.64985,1.08288,0.87935,0.87022,0.90157,0.65184,0.98085,0.61877,1.12127,0.000403571,0.000403571,0.000403571
26,1626.71,0.78682,0.65869,1.07943,0.89783,0.86182,0.90933,0.65266,1.01144,0.61793,1.12904,0.000388345,0.000388345,0.000388345
27,1691.77,0.77149,0.65062,1.07548,0.88369,0.86874,0.90301,0.64941,0.99339,0.61862,1.12184,0.000373119,0.000373119,0.000373119
28,1755.73,0.76306,0.62605,1.07413,0.92126,0.86819,0.9172,0.66517,0.99222,0.59964,1.1181,0.000357893,0.000357893,0.000357893
29,1819.02,0.75912,0.60629,1.06672,0.90291,0.87504,0.91806,0.66238,0.97799,0.59118,1.11854,0.000342666,0.000342666,0.000342666
30,1883.29,0.75004,0.6,1.05664,0.89313,0.8762,0.92008,0.67061,0.97751,0.57398,1.10707,0.00032744,0.00032744,0.00032744
31,1945.8,0.75692,0.59981,1.06947,0.90324,0.87592,0.9162,0.67177,0.97033,0.5655,1.10803,0.000312214,0.000312214,0.000312214
32,2008.34,0.75487,0.59038,1.05825,0.9231,0.86484,0.92279,0.67898,0.96224,0.56411,1.09792,0.000296988,0.000296988,0.000296988
