epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4088,1.25157,1.43004,1.14526,0.88451,0.84788,0.88859,0.56522,1.25718,0.89139,1.17416,0.000665158,0.000665158,0.000665158
2,165.225,1.25239,0.8314,1.14749,0.92503,0.88256,0.91861,0.57671,1.266,0.76479,1.19559,0.00130545,0.00130545,0.00130545
3,246.681,1.24487,0.7621,1.1388,0.94301,0.88205,0.92439,0.60938,1.2015,0.71913,1.13672,0.00191935,0.00191935,0.00191935
4,328.006,1.23573,0.72275,1.13473,0.95553,0.87122,0.92206,0.61028,1.23106,0.67533,1.15047,0.0018812,0.0018812,0.0018812
5,413.411,1.19923,0.67064,1.12015,0.95673,0.89795,0.94071,0.62993,1.17779,0.60836,1.14025,0.0018416,0.0018416,0.0018416
6,491.68,1.19579,0.64908,1.11896,0.96386,0.91135,0.95061,0.6422,1.17027,0.57331,1.11705,0.001802,0.001802,0.001802
7,570.714,1.18692,0.62915,1.11749,0.97066,0.90427,0.94641,0.64103,1.1703,0.56106,1.11424,0.0017624,0.0017624,0.0017624
8,648.369,1.16612,0.61535,1.10319,0.97543,0.90569,0.95354,0.64457,1.15853,0.562,1.10317,0.0017228,0.0017228,0.0017228
9,728.87,1.16186,0.60331,1.09727,0.96554,0.91906,0.9518,0.64731,1.14106,0.54199,1.09721,0.0016832,0.0016832,0.0016832
10,809.784,1.13675,0.58553,1.08262,0.97482,0.91714,0.95706,0.66161,1.15579,0.51981,1.09865,0.0016436,0.0016436,0.0016436
11,891.259,1.14098,0.57739,1.08588,0.97397,0.918,0.96111,0.66908,1.12518,0.50248,1.08056,0.001604,0.001604,0.001604
12,967.979,1.13436,0.56884,1.07837,0.97581,0.92574,0.96163,0.67007,1.13749,0.49133,1.09314,0.0015644,0.0015644,0.0015644
13,1045.01,1.11932,0.54829,1.07859,0.97547,0.92346,0.96375,0.66769,1.13029,0.49966,1.08372,0.0015248,0.0015248,0.0015248
14,1124.57,1.11625,0.54452,1.07761,0.97306,0.92847,0.96443,0.66844,1.12597,0.49849,1.09406,0.0014852,0.0014852,0.0014852
15,1205.12,1.11205,0.5399,1.07619,0.97143,0.9294,0.96217,0.67645,1.11238,0.47446,1.07512,0.0014456,0.0014456,0.0014456
16,1285.19,1.10472,0.53496,1.07081,0.98025,0.92716,0.96404,0.67459,1.11386,0.47756,1.07594,0.001406,0.001406,0.001406
17,1361.68,1.0995,0.52718,1.06878,0.98373,0.93656,0.96668,0.67151,1.13476,0.47996,1.09206,0.0013664,0.0013664,0.0013664
18,1438.57,1.10721,0.52538,1.06841,0.98647,0.92977,0.96704,0.67777,1.11118,0.48414,1.07669,0.0013268,0.0013268,0.0013268
19,1521.77,1.08573,0.51235,1.05803,0.977,0.93075,0.96516,0.67629,1.10884,0.46143,1.07173,0.0012872,0.0012872,0.0012872
20,1604.05,1.091,0.51645,1.05998,0.97664,0.9385,0.96648,0.67655,1.11366,0.46376,1.07241,0.0012476,0.0012476,0.0012476
21,1683.23,1.09554,0.50988,1.06463,0.97681,0.94123,0.96475,0.68154,1.09343,0.46563,1.07109,0.001208,0.001208,0.001208
